stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Melks\source\repos\Cerebrolab\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Melks\source\repos\Cerebrolab\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00093] Also searching C:\Users\Melks\source\repos\Cerebrolab\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00140] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00149] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00615] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.01371] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.01437] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.01442] al_display=0000020FED57A460
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.01447] al_display->vt=0000020FED57A2B0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01721] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.01729] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01734] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01738] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01743] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01747] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.01752] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.01756] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
